Pays,Catégorie,Item,Valeur,Plage
Lesotho,Rent Per Month,Apartment (3 bedrooms) in City Centre,361.62 €,227.19-605.25
Lesotho,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,143.05 €,100.97-176.70
Lesotho,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,320.51 €,100.97-540.05
Lesotho,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,434.03 €,
Lesotho,Salaries And Financing,Average Monthly Net Salary (After Tax),640.06 €,
Lesotho,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.50,
Liberia,Rent Per Month,Apartment (1 bedroom) in City Centre,612.60 €,"183.78-1,378.35"
Liberia,Rent Per Month,Apartment (1 bedroom) Outside of Centre,82.70 €,68.92-275.67
Liberia,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,676.99 €","367.56-2,756.70"
Liberia,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,225.59 €,137.84-918.90
Liberia,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,?,
Liberia,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,?,
Liberia,Salaries And Financing,Average Monthly Net Salary (After Tax),673.86 €,
Liberia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5.00,
Libya,Rent Per Month,Apartment (1 bedroom) in City Centre,154.91 €,95.31-285.93
Libya,Rent Per Month,Apartment (1 bedroom) Outside of Centre,91.56 €,66.72-171.56
Libya,Rent Per Month,Apartment (3 bedrooms) in City Centre,317.64 €,190.62-476.54
Libya,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,172.39 €,114.37-285.93
Libya,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,688.32 €,"324.05-1,524.94"
Libya,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,244.40 €,183.78-571.85
Libya,Salaries And Financing,Average Monthly Net Salary (After Tax),314.44 €,
Libya,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",15.79,9.75-20.00
Liechtenstein,Rent Per Month,Apartment (1 bedroom) in City Centre,"1,179.47 €","934.95-1,558.24"
Liechtenstein,Rent Per Month,Apartment (1 bedroom) Outside of Centre,993.41 €,"697.05-1,350.48"
Liechtenstein,Rent Per Month,Apartment (3 bedrooms) in City Centre,"2,366.02 €","2,077.66-2,597.07"
Liechtenstein,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,903.37 €","1,829.38-2,008.40"
Liechtenstein,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"9,725.04 €","4,301.79-20,776.60"
Liechtenstein,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"3,497.09 €","1,869.89-8,310.64"
Liechtenstein,Salaries And Financing,Average Monthly Net Salary (After Tax),"7,271.89 €",
Liechtenstein,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6.49,4.10-8.10
Lithuania,Rent Per Month,Apartment (1 bedroom) in City Centre,616.52 €,400.00-800.00
Lithuania,Rent Per Month,Apartment (1 bedroom) Outside of Centre,435.29 €,300.00-620.00
Lithuania,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,097.38 €","700.00-1,500.00"
Lithuania,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,738.56 €,"500.00-1,100.00"
Lithuania,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"3,926.70 €","1,800.00-6,000.00"
Lithuania,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"2,421.80 €","1,050.00-3,900.00"
Lithuania,Salaries And Financing,Average Monthly Net Salary (After Tax),"1,302.41 €",
Lithuania,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.27,2.50-6.00
Luxembourg,Rent Per Month,Apartment (1 bedroom) in City Centre,"1,697.62 €","1,400.00-2,200.00"
Luxembourg,Rent Per Month,Apartment (1 bedroom) Outside of Centre,"1,437.50 €","1,200.00-1,800.00"
Luxembourg,Rent Per Month,Apartment (3 bedrooms) in City Centre,"2,954.03 €","2,000.00-4,000.00"
Luxembourg,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"2,361.43 €","1,700.00-3,200.00"
Luxembourg,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"10,142.50 €","8,800.00-14,000.00"
Luxembourg,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"7,620.31 €","6,000.00-10,000.00"
Luxembourg,Salaries And Financing,Average Monthly Net Salary (After Tax),"5,533.57 €",
Luxembourg,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.19,1.52-4.40
Macao (China),Rent Per Month,Apartment (1 bedroom) in City Centre,"1,077.55 €","802.43-1,375.60"
Macao (China),Rent Per Month,Apartment (1 bedroom) Outside of Centre,851.56 €,"687.80-1,031.70"
Macao (China),Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,904.55 €","1,719.50-2,269.74"
Macao (China),Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,541.18 €","1,260.96-2,292.66"
Macao (China),Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"11,422.86 €","9,743.82-13,755.97"
Macao (China),Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"8,174.75 €","6,877.99-12,339.01"
Macao (China),Salaries And Financing,Average Monthly Net Salary (After Tax),"1,905.20 €",
Macao (China),Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.21,1.80-4.50
Madagascar,Rent Per Month,Apartment (1 bedroom) in City Centre,280.45 €,98.40-511.70
Madagascar,Rent Per Month,Apartment (1 bedroom) Outside of Centre,65.75 €,39.36-236.17
Madagascar,Rent Per Month,Apartment (3 bedrooms) in City Centre,360.82 €,196.81-984.04
Madagascar,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,229.61 €,118.09-885.64
Madagascar,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,583.86 €,354.26-806.91
Madagascar,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,442.82 €,393.62-492.02
Madagascar,Salaries And Financing,Average Monthly Net Salary (After Tax),91.02 €,
Madagascar,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",17.25,7.00-24.00
Malawi,Rent Per Month,Apartment (1 bedroom) in City Centre,184.85 €,112.38-268.73
Malawi,Rent Per Month,Apartment (1 bedroom) Outside of Centre,76.16 €,36.76-134.79
Malawi,Rent Per Month,Apartment (3 bedrooms) in City Centre,407.96 €,337.14-716.62
Malawi,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,322.64 €,163.67-472.42
Malawi,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"9,686.89 €","4,537.34-14,836.44"
Malawi,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,454.45 €,364.41-544.48
Malawi,Salaries And Financing,Average Monthly Net Salary (After Tax),285.32 €,
Malawi,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",?,
Malaysia,Rent Per Month,Apartment (1 bedroom) in City Centre,336.54 €,206.63-619.90
Malaysia,Rent Per Month,Apartment (1 bedroom) Outside of Centre,230.75 €,123.98-413.27
Malaysia,Rent Per Month,Apartment (3 bedrooms) in City Centre,603.77 €,"309.95-1,033.17"
Malaysia,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,397.13 €,247.96-723.22
Malaysia,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"1,851.66 €","1,033.17-3,336.28"
Malaysia,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"1,042.21 €","667.26-1,446.44"
Malaysia,Salaries And Financing,Average Monthly Net Salary (After Tax),835.56 €,
Malaysia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.19,3.10-5.00
Maldives,Rent Per Month,Apartment (1 bedroom) in City Centre,882.86 €,"596.53-1,193.05"
Maldives,Rent Per Month,Apartment (1 bedroom) Outside of Centre,629.67 €,536.87-954.44
Maldives,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,511.20 €","1,193.05-2,266.80"
Maldives,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,252.70 €","1,073.75-1,789.58"
Maldives,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"2,711.58 €","1,605.24-4,945.48"
Maldives,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,991.01 €,"459.45-2,247.33"
Maldives,Salaries And Financing,Average Monthly Net Salary (After Tax),943.15 €,
Maldives,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",12.40,8.00-15.00
Mali,Rent Per Month,Apartment (1 bedroom) in City Centre,137.84 €,
Mali,Rent Per Month,Apartment (1 bedroom) Outside of Centre,73.51 €,
Mali,Rent Per Month,Apartment (3 bedrooms) in City Centre,372.64 €,285.82-459.45
Mali,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,275.67 €,
Mali,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"9,296.05 €",
Mali,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,768.63 €,"395.84-1,141.42"
Mali,Salaries And Financing,Average Monthly Net Salary (After Tax),240.59 €,
Mali,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",?,
Malta,Rent Per Month,Apartment (1 bedroom) in City Centre,977.58 €,"750.00-1,300.00"
Malta,Rent Per Month,Apartment (1 bedroom) Outside of Centre,814.06 €,"650.00-1,000.00"
Malta,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,652.72 €","1,200.00-2,900.00"
Malta,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,284.12 €","1,000.00-1,800.00"
Malta,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"3,581.48 €","2,300.00-5,200.00"
Malta,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"2,815.32 €","1,847.00-4,500.00"
Malta,Salaries And Financing,Average Monthly Net Salary (After Tax),"1,487.06 €",
Malta,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.67,3.00-5.43
Marshall Islands,Rent Per Month,Apartment (1 bedroom) in City Centre,704.49 €,689.18-735.12
Marshall Islands,Rent Per Month,Apartment (1 bedroom) Outside of Centre,765.75 €,689.18-918.90
Marshall Islands,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,271.14 €","1,102.68-1,378.35"
Marshall Islands,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,301.78 €","1,102.68-1,654.02"
Marshall Islands,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,?,
Marshall Islands,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,?,
Marshall Islands,Salaries And Financing,Average Monthly Net Salary (After Tax),"1,378.35 €",
Marshall Islands,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",?,
Martinique,Rent Per Month,Apartment (1 bedroom) in City Centre,710.00 €,650.00-770.00
Martinique,Rent Per Month,Apartment (1 bedroom) Outside of Centre,646.67 €,640.00-650.00
Martinique,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,120.00 €","1,000.00-1,240.00"
Martinique,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,225.00 €","800.00-1,650.00"
Martinique,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"2,052.00 €",
Martinique,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"3,209.50 €","2,419.00-4,000.00"
Martinique,Salaries And Financing,Average Monthly Net Salary (After Tax),"1,987.50 €",
Martinique,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",1.45,
Mauritania,Rent Per Month,Apartment (1 bedroom) in City Centre,166.27 €,92.37-257.40
Mauritania,Rent Per Month,Apartment (1 bedroom) Outside of Centre,127.01 €,92.37-180.18
Mauritania,Rent Per Month,Apartment (3 bedrooms) in City Centre,551.51 €,461.86-772.19
Mauritania,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,249.40 €,230.93-386.09
Mauritania,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"3,130.76 €","257.40-6,004.13"
Mauritania,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"1,056.06 €","167.31-2,771.14"
Mauritania,Salaries And Financing,Average Monthly Net Salary (After Tax),696.74 €,
Mauritania,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",16.50,13.00-20.00
Mauritius,Rent Per Month,Apartment (1 bedroom) in City Centre,396.04 €,203.70-611.11
Mauritius,Rent Per Month,Apartment (1 bedroom) Outside of Centre,286.23 €,162.96-509.26
Mauritius,Rent Per Month,Apartment (3 bedrooms) in City Centre,717.70 €,"500.00-1,120.36"
Mauritius,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,567.05 €,"305.55-1,018.51"
Mauritius,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"2,797.73 €","1,099.99-5,092.55"
Mauritius,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"2,187.70 €","769.56-3,055.53"
Mauritius,Salaries And Financing,Average Monthly Net Salary (After Tax),631.41 €,
Mauritius,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6.13,4.50-7.50
Mexico,Rent Per Month,Apartment (1 bedroom) in City Centre,572.49 €,"276.64-1,014.34"
Mexico,Rent Per Month,Apartment (1 bedroom) Outside of Centre,400.34 €,184.42-737.70
Mexico,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,089.82 €","576.33-2,074.78"
Mexico,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,753.67 €,"414.96-1,567.61"
Mexico,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"1,770.28 €","646.18-3,457.96"
Mexico,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"1,199.20 €","553.27-2,489.73"
Mexico,Salaries And Financing,Average Monthly Net Salary (After Tax),623.25 €,
Mexico,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",11.44,10.00-13.00
Micronesia,Rent Per Month,Apartment (1 bedroom) in City Centre,888.27 €,"643.23-1,102.68"
Micronesia,Rent Per Month,Apartment (1 bedroom) Outside of Centre,692.62 €,431.88-918.90
Micronesia,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,322.07 €","693.77-2,756.70"
Micronesia,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,068.22 €","735.12-1,791.86"
Micronesia,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,952.59 €,"698.36-1,378.35"
Micronesia,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,704.49 €,551.34-918.90
Micronesia,Salaries And Financing,Average Monthly Net Salary (After Tax),280.57 €,
Micronesia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","390,000.00","360,000.00-400,000.00"
Moldova,Rent Per Month,Apartment (1 bedroom) in City Centre,521.69 €,350.00-825.11
Moldova,Rent Per Month,Apartment (1 bedroom) Outside of Centre,375.06 €,250.00-515.69
Moldova,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,000.71 €","515.69-2,000.00"
Moldova,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,662.74 €,"400.00-1,200.00"
Moldova,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"1,902.71 €","1,186.09-2,578.46"
Moldova,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"1,411.32 €","1,000.00-1,800.00"
Moldova,Salaries And Financing,Average Monthly Net Salary (After Tax),569.58 €,
Moldova,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",9.46,8.00-15.00
Monaco,Rent Per Month,Apartment (1 bedroom) in City Centre,"6,157.71 €","2,500.00-13,000.00"
Monaco,Rent Per Month,Apartment (1 bedroom) Outside of Centre,"6,981.00 €","2,000.00-12,500.00"
Monaco,Rent Per Month,Apartment (3 bedrooms) in City Centre,"28,166.67 €","10,000.00-60,000.00"
Monaco,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"6,400.00 €","3,200.00-10,000.00"
Monaco,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"59,465.21 €","24,791.25-90,000.00"
Monaco,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"53,000.00 €","42,000.00-75,000.00"
Monaco,Salaries And Financing,Average Monthly Net Salary (After Tax),"7,491.95 €",
Monaco,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",2.83,2.00-4.00
Mongolia,Rent Per Month,Apartment (1 bedroom) in City Centre,479.85 €,324.51-811.27
Mongolia,Rent Per Month,Apartment (1 bedroom) Outside of Centre,363.57 €,216.34-540.85
Mongolia,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,179.57 €","540.85-1,892.97"
Mongolia,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,672.20 €,405.64-811.27
Mongolia,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"1,477.19 €","1,068.17-2,406.77"
Mongolia,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,884.29 €,"757.19-1,081.70"
Mongolia,Salaries And Financing,Average Monthly Net Salary (After Tax),387.54 €,
Mongolia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6.00,5.00-6.00
Montenegro,Rent Per Month,Apartment (1 bedroom) in City Centre,607.54 €,"450.00-1,000.00"
Montenegro,Rent Per Month,Apartment (1 bedroom) Outside of Centre,462.85 €,350.00-650.00
Montenegro,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,085.95 €","750.00-1,700.00"
Montenegro,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,822.24 €,"600.00-1,250.00"
Montenegro,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"2,407.14 €","1,800.00-3,200.00"
Montenegro,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"1,854.76 €","1,400.00-2,500.00"
Montenegro,Salaries And Financing,Average Monthly Net Salary (After Tax),821.58 €,
Montenegro,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5.74,5.00-7.00
Montserrat,Rent Per Month,Apartment (1 bedroom) in City Centre,?,
Montserrat,Rent Per Month,Apartment (1 bedroom) Outside of Centre,?,
Montserrat,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,190.04 €","1,190.04-1,190.04"
Montserrat,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,190.04 €","1,190.04-1,190.04"
Montserrat,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,?,
Montserrat,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,?,
Montserrat,Salaries And Financing,Average Monthly Net Salary (After Tax),?,
Montserrat,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",?,
Morocco,Rent Per Month,Apartment (1 bedroom) in City Centre,320.07 €,170.68-568.92
Morocco,Rent Per Month,Apartment (1 bedroom) Outside of Centre,184.24 €,94.82-341.35
Morocco,Rent Per Month,Apartment (3 bedrooms) in City Centre,598.65 €,"331.87-1,137.84"
Morocco,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,330.24 €,189.64-663.74
Morocco,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"1,313.64 €","853.38-2,370.49"
Morocco,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,801.61 €,"474.10-1,374.89"
Morocco,Salaries And Financing,Average Monthly Net Salary (After Tax),383.49 €,
Morocco,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.96,3.00-6.10
Mozambique,Rent Per Month,Apartment (1 bedroom) in City Centre,553.42 €,"431.88-1,102.68"
Mozambique,Rent Per Month,Apartment (1 bedroom) Outside of Centre,325.35 €,215.94-551.34
Mozambique,Rent Per Month,Apartment (3 bedrooms) in City Centre,985.52 €,"647.82-1,837.80"
Mozambique,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,586.12 €,503.86-863.76
Mozambique,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"4,132.82 €","2,879.21-6,353.27"
Mozambique,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"1,700.53 €","467.87-3,099.16"
Mozambique,Salaries And Financing,Average Monthly Net Salary (After Tax),334.71 €,
Mozambique,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",24.33,15.00-28.00
Myanmar,Rent Per Month,Apartment (1 bedroom) in City Centre,421.55 €,229.73-918.90
Myanmar,Rent Per Month,Apartment (1 bedroom) Outside of Centre,190.34 €,110.27-275.67
Myanmar,Rent Per Month,Apartment (3 bedrooms) in City Centre,920.99 €,"551.34-1,378.35"
Myanmar,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,734.42 €,"367.56-1,102.68"
Myanmar,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"1,344.27 €","735.12-2,536.14"
Myanmar,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,332.07 €,"134.58-2,536.14"
Myanmar,Salaries And Financing,Average Monthly Net Salary (After Tax),285.09 €,
Myanmar,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",11.00,5.00-13.00
Namibia,Rent Per Month,Apartment (1 bedroom) in City Centre,367.80 €,252.19-504.37
Namibia,Rent Per Month,Apartment (1 bedroom) Outside of Centre,288.51 €,183.78-504.37
Namibia,Rent Per Month,Apartment (3 bedrooms) in City Centre,909.97 €,"605.25-1,260.93"
Namibia,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,779.98 €,"403.50-1,260.93"
Namibia,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,616.15 €,"428.72-2,017.49"
Namibia,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,448.89 €,"302.62-1,008.75"
Namibia,Salaries And Financing,Average Monthly Net Salary (After Tax),807.65 €,
Namibia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",11.17,8.00-12.25
Nauru,Rent Per Month,Apartment (1 bedroom) in City Centre,"2,034.44 €","1,162.54-3,487.62"
Nauru,Rent Per Month,Apartment (1 bedroom) Outside of Centre,"1,453.17 €",
Nauru,Rent Per Month,Apartment (3 bedrooms) in City Centre,"4,185.14 €",
Nauru,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"3,491.11 €",
Nauru,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,?,
Nauru,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,?,
Nauru,Salaries And Financing,Average Monthly Net Salary (After Tax),523.14 €,
Nauru,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.00,
Nepal,Rent Per Month,Apartment (1 bedroom) in City Centre,124.08 €,52.79-230.95
Nepal,Rent Per Month,Apartment (1 bedroom) Outside of Centre,66.87 €,26.39-112.18
Nepal,Rent Per Month,Apartment (3 bedrooms) in City Centre,225.47 €,131.97-494.89
Nepal,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,138.60 €,79.18-263.94
Nepal,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"1,751.75 €","1,065.39-3,299.27"
Nepal,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,960.70 €,"674.75-1,278.47"
Nepal,Salaries And Financing,Average Monthly Net Salary (After Tax),200.41 €,
Nepal,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",12.59,8.00-16.00
Netherlands,Rent Per Month,Apartment (1 bedroom) in City Centre,"1,382.34 €","1,000.00-2,005.13"
Netherlands,Rent Per Month,Apartment (1 bedroom) Outside of Centre,"1,108.53 €","790.00-1,725.00"
Netherlands,Rent Per Month,Apartment (3 bedrooms) in City Centre,"2,201.57 €","1,456.67-3,665.52"
Netherlands,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,753.98 €","1,173.44-2,598.33"
Netherlands,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"5,563.01 €","3,910.00-9,505.52"
Netherlands,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"4,356.37 €","3,000.00-7,000.00"
Netherlands,Salaries And Financing,Average Monthly Net Salary (After Tax),"3,263.37 €",
Netherlands,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.29,2.49-4.60
New Caledonia,Rent Per Month,Apartment (1 bedroom) in City Centre,662.02 €,544.70-838.00
New Caledonia,Rent Per Month,Apartment (1 bedroom) Outside of Centre,680.87 €,586.60-754.20
New Caledonia,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,374.32 €","1,173.20-1,843.60"
New Caledonia,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,152.25 €","921.80-1,257.00"
New Caledonia,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"4,252.85 €","3,771.00-5,028.00"
New Caledonia,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"3,739.57 €","2,933.00-5,447.00"
New Caledonia,Salaries And Financing,Average Monthly Net Salary (After Tax),"2,419.72 €",
New Caledonia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",2.50,2.00-3.00
New Zealand,Rent Per Month,Apartment (1 bedroom) in City Centre,961.03 €,"582.10-1,375.87"
New Zealand,Rent Per Month,Apartment (1 bedroom) Outside of Centre,810.23 €,"423.34-1,217.12"
New Zealand,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,534.41 €","1,005.44-2,540.07"
New Zealand,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,328.38 €","846.69-1,852.13"
New Zealand,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"4,432.45 €","2,275.48-7,937.71"
New Zealand,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"3,680.46 €","1,852.13-6,879.35"
New Zealand,Salaries And Financing,Average Monthly Net Salary (After Tax),"2,647.23 €",
New Zealand,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6.77,5.79-7.50
Nicaragua,Rent Per Month,Apartment (1 bedroom) in City Centre,319.32 €,183.78-459.45
Nicaragua,Rent Per Month,Apartment (1 bedroom) Outside of Centre,249.83 €,137.84-413.50
Nicaragua,Rent Per Month,Apartment (3 bedrooms) in City Centre,546.63 €,"274.47-1,102.68"
Nicaragua,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,452.08 €,275.67-918.90
Nicaragua,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"1,118.00 €","1,102.68-1,194.57"
Nicaragua,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,476.91 €,336.32-827.01
